"","year","month","state","number_mass_shooting"
"1",18,"Apr","Alabama",1
"2",18,"Apr","Arkansas",1
"3",18,"Apr","California",2
"4",18,"Apr","District of Columbia",1
"5",18,"Apr","Florida",4
"6",18,"Apr","Louisiana",3
"7",18,"Apr","Michigan",2
"8",18,"Apr","Missouri",1
"9",18,"Apr","North Carolina",4
"10",18,"Apr","Pennsylvania",1
"11",18,"Apr","Tennessee",2
"12",18,"Apr","Texas",1
"13",18,"Apr","Virginia",1
"14",18,"Apr","Washington",1
"15",18,"Aug","Arkansas",1
"16",18,"Aug","California",2
"17",18,"Aug","Colorado",2
"18",18,"Aug","Florida",1
"19",18,"Aug","Illinois",8
"20",18,"Aug","Maryland",1
"21",18,"Aug","Michigan",1
"22",18,"Aug","Missouri",3
"23",18,"Aug","Nevada",1
"24",18,"Aug","New Jersey",1
"25",18,"Aug","New York",1
"26",18,"Aug","Ohio",2
"27",18,"Aug","Pennsylvania",4
"28",18,"Aug","South Carolina",1
"29",18,"Aug","Tennessee",3
"30",18,"Aug","Virginia",1
"31",18,"Aug","Wisconsin",1
"32",18,"Dec","California",1
"33",18,"Dec","Colorado",1
"34",18,"Dec","Florida",2
"35",18,"Dec","Louisiana",2
"36",18,"Dec","Maryland",1
"37",18,"Dec","Missouri",2
"38",18,"Dec","Nevada",1
"39",18,"Dec","New York",1
"40",18,"Dec","Ohio",2
"41",18,"Dec","Pennsylvania",1
"42",18,"Dec","Wisconsin",1
"43",18,"Feb","Colorado",1
"44",18,"Feb","Connecticut",1
"45",18,"Feb","Florida",3
"46",18,"Feb","Kansas",1
"47",18,"Feb","Kentucky",1
"48",18,"Feb","Louisiana",1
"49",18,"Feb","Michigan",2
"50",18,"Feb","Ohio",1
"51",18,"Feb","Oklahoma",1
"52",18,"Feb","Tennessee",1
"53",18,"Feb","Texas",1
"54",18,"Jan","Alabama",4
"55",18,"Jan","Arkansas",1
"56",18,"Jan","California",1
"57",18,"Jan","District of Columbia",2
"58",18,"Jan","Florida",3
"59",18,"Jan","Illinois",1
"60",18,"Jan","Indiana",1
"61",18,"Jan","Kentucky",2
"62",18,"Jan","Mississippi",1
"63",18,"Jan","Missouri",2
"64",18,"Jan","Pennsylvania",3
"65",18,"Jan","Tennessee",1
"66",18,"Jul","Alabama",2
"67",18,"Jul","Arizona",1
"68",18,"Jul","California",4
"69",18,"Jul","Colorado",1
"70",18,"Jul","Delaware",1
"71",18,"Jul","District of Columbia",2
"72",18,"Jul","Florida",3
"73",18,"Jul","Georgia",2
"74",18,"Jul","Illinois",5
"75",18,"Jul","Louisiana",2
"76",18,"Jul","Maryland",2
"77",18,"Jul","Michigan",1
"78",18,"Jul","Missouri",1
"79",18,"Jul","New Jersey",1
"80",18,"Jul","New York",3
"81",18,"Jul","Ohio",2
"82",18,"Jul","Oklahoma",1
"83",18,"Jul","Pennsylvania",2
"84",18,"Jul","Tennessee",3
"85",18,"Jul","Texas",3
"86",18,"Jul","Virginia",2
"87",18,"Jul","Washington",1
"88",18,"Jun","Alabama",2
"89",18,"Jun","California",6
"90",18,"Jun","Colorado",1
"91",18,"Jun","Connecticut",1
"92",18,"Jun","Florida",6
"93",18,"Jun","Georgia",2
"94",18,"Jun","Illinois",10
"95",18,"Jun","Indiana",2
"96",18,"Jun","Kansas",1
"97",18,"Jun","Louisiana",1
"98",18,"Jun","Maryland",2
"99",18,"Jun","Massachusetts",1
"100",18,"Jun","Nebraska",1
"101",18,"Jun","New Jersey",2
"102",18,"Jun","New York",3
"103",18,"Jun","North Carolina",3
"104",18,"Jun","Ohio",1
"105",18,"Jun","Pennsylvania",3
"106",18,"Jun","Tennessee",1
"107",18,"Jun","Texas",2
"108",18,"Mar","Alabama",1
"109",18,"Mar","California",2
"110",18,"Mar","Florida",2
"111",18,"Mar","Illinois",3
"112",18,"Mar","Indiana",1
"113",18,"Mar","Kentucky",1
"114",18,"Mar","Michigan",1
"115",18,"Mar","New Jersey",2
"116",18,"Mar","New York",1
"117",18,"Mar","North Carolina",1
"118",18,"Mar","Texas",1
"119",18,"Mar","Utah",1
"120",18,"May","California",3
"121",18,"May","Colorado",1
"122",18,"May","Georgia",1
"123",18,"May","Illinois",2
"124",18,"May","Indiana",1
"125",18,"May","Louisiana",2
"126",18,"May","Maryland",1
"127",18,"May","Minnesota",1
"128",18,"May","Mississippi",2
"129",18,"May","Missouri",2
"130",18,"May","Nebraska",2
"131",18,"May","New Jersey",1
"132",18,"May","New York",1
"133",18,"May","North Carolina",1
"134",18,"May","Ohio",1
"135",18,"May","Oklahoma",2
"136",18,"May","South Carolina",1
"137",18,"May","Tennessee",1
"138",18,"May","Texas",2
"139",18,"Nov","Alabama",1
"140",18,"Nov","Arizona",1
"141",18,"Nov","Arkansas",1
"142",18,"Nov","California",4
"143",18,"Nov","Colorado",1
"144",18,"Nov","Florida",2
"145",18,"Nov","Indiana",1
"146",18,"Nov","Louisiana",1
"147",18,"Nov","Minnesota",1
"148",18,"Nov","Missouri",2
"149",18,"Nov","New Mexico",1
"150",18,"Nov","New York",1
"151",18,"Nov","North Carolina",1
"152",18,"Nov","Pennsylvania",1
"153",18,"Nov","Tennessee",1
"154",18,"Nov","Texas",1
"155",18,"Oct","Alabama",1
"156",18,"Oct","Arkansas",1
"157",18,"Oct","California",5
"158",18,"Oct","Florida",1
"159",18,"Oct","Georgia",2
"160",18,"Oct","Illinois",3
