series_id,year,period,label,value
Alabama,2017,M01,2017 Jan,5.5
Alabama,2017,M02,2017 Feb,5.3
Alabama,2017,M03,2017 Mar,5.1
Alabama,2017,M04,2017 Apr,4.9
Alabama,2017,M05,2017 May,4.7
Alabama,2017,M06,2017 Jun,4.5
Alabama,2017,M07,2017 Jul,4.4
Alabama,2017,M08,2017 Aug,4.3
Alabama,2017,M09,2017 Sep,4.2
Alabama,2017,M10,2017 Oct,4.1
Alabama,2017,M11,2017 Nov,4
Alabama,2017,M12,2017 Dec,4
Alabama,2018,M01,2018 Jan,4
Alabama,2018,M02,2018 Feb,4
Alabama,2018,M03,2018 Mar,4
Alabama,2018,M04,2018 Apr,4
Alabama,2018,M05,2018 May,4
Alabama,2018,M06,2018 Jun,4
Alabama,2018,M07,2018 Jul,4
Alabama,2018,M08,2018 Aug,3.9
Alabama,2018,M09,2018 Sep,3.9
Alabama,2018,M10,2018 Oct,3.8
Alabama,2018,M11,2018 Nov,3.8
Alabama,2018,M12,2018 Dec,3.7
Alabama,2019,M01,2019 Jan,3.6
Alabama,2019,M02,2019 Feb,3.5
Alabama,2019,M03,2019 Mar,3.3
Alabama,2019,M04,2019 Apr,3.2
Alabama,2019,M05,2019 May,3.1
Alabama,2019,M06,2019 Jun,2.9
Alabama,2019,M07,2019 Jul,2.9
Alabama,2019,M08,2019 Aug,2.8
Alabama,2019,M09,2019 Sep,2.8
Alabama,2019,M10,2019 Oct,2.8
Alabama,2019,M11,2019 Nov,2.7
Alabama,2019,M12,2019 Dec,2.7
Alabama,2020,M01,2020 Jan,2.7
Alabama,2020,M02,2020 Feb,2.6
Alabama,2020,M03,2020 Mar,2.6
Alabama,2020,M04,2020 Apr,13.2
Alabama,2020,M05,2020 May,7.9
Alabama,2020,M06,2020 Jun,7.7
Alabama,2020,M07,2020 Jul,7.4
Alabama,2020,M08,2020 Aug,7.1
Alabama,2020,M09,2020 Sep,6.7
Alabama,2020,M10,2020 Oct,4.7
Alabama,2020,M11,2020 Nov,4.7
Alabama,2020,M12,2020 Dec,4.7
Alabama,2021,M01,2021 Jan,4.3
Alabama,2021,M02,2021 Feb,4
Alabama,2021,M03,2021 Mar,3.8
Alabama,2021,M04,2021 Apr,3.6
Alabama,2021,M05,2021 May,3.4
Alabama,2021,M06,2021 Jun,3.3
Alabama,2021,M07,2021 Jul,3.2
Alabama,2021,M08,2021 Aug,3.1
Alabama,2021,M09,2021 Sep,3.1
Alabama,2021,M10,2021 Oct,3.1
Alaska,2017,M01,2017 Jan,6.6
Alaska,2017,M02,2017 Feb,6.6
Alaska,2017,M03,2017 Mar,6.5
Alaska,2017,M04,2017 Apr,6.5
Alaska,2017,M05,2017 May,6.5
Alaska,2017,M06,2017 Jun,6.5
Alaska,2017,M07,2017 Jul,6.5
Alaska,2017,M08,2017 Aug,6.5
Alaska,2017,M09,2017 Sep,6.5
Alaska,2017,M10,2017 Oct,6.5
Alaska,2017,M11,2017 Nov,6.4
Alaska,2017,M12,2017 Dec,6.4
Alaska,2018,M01,2018 Jan,6.3
Alaska,2018,M02,2018 Feb,6.2
Alaska,2018,M03,2018 Mar,6.1
Alaska,2018,M04,2018 Apr,6
Alaska,2018,M05,2018 May,5.9
Alaska,2018,M06,2018 Jun,5.9
Alaska,2018,M07,2018 Jul,5.8
Alaska,2018,M08,2018 Aug,5.8
Alaska,2018,M09,2018 Sep,5.8
Alaska,2018,M10,2018 Oct,5.8
Alaska,2018,M11,2018 Nov,5.8
Alaska,2018,M12,2018 Dec,5.8
Alaska,2019,M01,2019 Jan,5.8
Alaska,2019,M02,2019 Feb,5.7
Alaska,2019,M03,2019 Mar,5.6
Alaska,2019,M04,2019 Apr,5.5
Alaska,2019,M05,2019 May,5.4
Alaska,2019,M06,2019 Jun,5.4
Alaska,2019,M07,2019 Jul,5.4
Alaska,2019,M08,2019 Aug,5.4
Alaska,2019,M09,2019 Sep,5.3
Alaska,2019,M10,2019 Oct,5.2
Alaska,2019,M11,2019 Nov,5
Alaska,2019,M12,2019 Dec,5
Alaska,2020,M01,2020 Jan,5
Alaska,2020,M02,2020 Feb,5.1
Alaska,2020,M03,2020 Mar,5.1
Alaska,2020,M04,2020 Apr,11.8
Alaska,2020,M05,2020 May,11.6
Alaska,2020,M06,2020 Jun,11.3
Alaska,2020,M07,2020 Jul,11
Alaska,2020,M08,2020 Aug,7.2
Alaska,2020,M09,2020 Sep,7
Alaska,2020,M10,2020 Oct,6.5
Alaska,2020,M11,2020 Nov,6.5
Alaska,2020,M12,2020 Dec,6.5
Alaska,2021,M01,2021 Jan,6.6
Alaska,2021,M02,2021 Feb,6.6
Alaska,2021,M03,2021 Mar,6.7
Alaska,2021,M04,2021 Apr,6.7
Alaska,2021,M05,2021 May,6.6
Alaska,2021,M06,2021 Jun,6.6
Alaska,2021,M07,2021 Jul,6.6
Alaska,2021,M08,2021 Aug,6.4
Alaska,2021,M09,2021 Sep,6.3
Alaska,2021,M10,2021 Oct,6.1
Arizona,2017,M01,2017 Jan,5.2
Arizona,2017,M02,2017 Feb,5.2
Arizona,2017,M03,2017 Mar,5.1
Arizona,2017,M04,2017 Apr,5
Arizona,2017,M05,2017 May,5
Arizona,2017,M06,2017 Jun,4.9
Arizona,2017,M07,2017 Jul,4.9
Arizona,2017,M08,2017 Aug,4.8
Arizona,2017,M09,2017 Sep,4.8
Arizona,2017,M10,2017 Oct,4.8
Arizona,2017,M11,2017 Nov,4.9
Arizona,2017,M12,2017 Dec,4.9
Arizona,2018,M01,2018 Jan,4.9
Arizona,2018,M02,2018 Feb,4.8
Arizona,2018,M03,2018 Mar,4.8
Arizona,2018,M04,2018 Apr,4.7
Arizona,2018,M05,2018 May,4.7
Arizona,2018,M06,2018 Jun,4.7
Arizona,2018,M07,2018 Jul,4.7
Arizona,2018,M08,2018 Aug,4.8
Arizona,2018,M09,2018 Sep,4.8
Arizona,2018,M10,2018 Oct,4.9
Arizona,2018,M11,2018 Nov,5
Arizona,2018,M12,2018 Dec,5
Arizona,2019,M01,2019 Jan,5
Arizona,2019,M02,2019 Feb,5
Arizona,2019,M03,2019 Mar,5
Arizona,2019,M04,2019 Apr,4.9
Arizona,2019,M05,2019 May,4.9
Arizona,2019,M06,2019 Jun,4.9
Arizona,2019,M07,2019 Jul,4.9
Arizona,2019,M08,2019 Aug,4.8
Arizona,2019,M09,2019 Sep,4.8
Arizona,2019,M10,2019 Oct,4.7
Arizona,2019,M11,2019 Nov,4.7
Arizona,2019,M12,2019 Dec,4.7
Arizona,2020,M01,2020 Jan,4.8
Arizona,2020,M02,2020 Feb,4.9
Arizona,2020,M03,2020 Mar,5
Arizona,2020,M04,2020 Apr,14.2
Arizona,2020,M05,2020 May,10.6
Arizona,2020,M06,2020 Jun,10.7
Arizona,2020,M07,2020 Jul,10.4
Arizona,2020,M08,2020 Aug,7
Arizona,2020,M09,2020 Sep,6.9
Arizona,2020,M10,2020 Oct,6.8
Arizona,2020,M11,2020 Nov,6.8
Arizona,2020,M12,2020 Dec,6.8
Arizona,2021,M01,2021 Jan,6.7
Arizona,2021,M02,2021 Feb,6.9
Arizona,2021,M03,2021 Mar,6.7
