Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2163306,9-Nov-21,New York,Rochester,Clifton St and Jefferson Ave,0,4,N/A
2163617,9-Nov-21,South Dakota,Scotland,710 2nd St,3,2,N/A
2162269,8-Nov-21,Pennsylvania,Philadelphia,200 block of E Louden St,0,4,N/A
2161323,7-Nov-21,Wisconsin,Kenosha,625 57th St,1,3,N/A
2161116,6-Nov-21,California,Oakley,33 Malicoat Ave,2,2,N/A
2160608,6-Nov-21,Texas,Marshall,510 S Alamo Blvd,0,6,N/A
2161078,6-Nov-21,California,Highland,26998 3rd St,0,4,N/A
2160838,5-Nov-21,California,Oakland,8400 block of International Blvd,1,3,N/A
2158524,3-Nov-21,Iowa,Des Moines,11300 block of E 15th St,0,4,N/A
2158417,3-Nov-21,Virginia,Norfolk,821 Whitaker Ln,3,2,N/A
2157991,2-Nov-21,Alabama,Mobile,4120 Government Blvd,0,4,N/A
2156175,1-Nov-21,Florida,Orlando,N Orange Ave and Wall St,0,4,N/A
2157206,1-Nov-21,Texas,San Antonio,1900 block of W Laurel St,0,4,N/A
2155369,31-Oct-21,Kentucky,Louisville,6210 Shepherdsville Rd,2,2,N/A
2155329,31-Oct-21,Illinois,Joliet,1018 E Jackson St,2,12,N/A
2155517,31-Oct-21,Colorado,Littleton (Lakewood),6200 block of Alameda Ave,2,2,N/A
2155428,31-Oct-21,Illinois,Flossmoor,3800 block of Ballantrae Way,1,3,N/A
2155282,31-Oct-21,Texas,Houston,1909 Schilder Dr,1,3,N/A
2156001,31-Oct-21,Texas,Fort Worth,3700 block of Lebow St,1,3,N/A
2154851,30-Oct-21,California,Gilroy,400 block of Las Animas Ave,1,3,N/A
2154422,30-Oct-21,Illinois,Decatur,1100 block of N Union St,0,4,N/A
2155001,30-Oct-21,Texas,Texarkana,2315 Texas Blvd,1,9,N/A
2154441,30-Oct-21,Oklahoma,Oklahoma City,NW 122nd St and N Council Rd,0,4,N/A
2155172,30-Oct-21,Florida,Saint Petersburg,1079 62nd Ave S,1,4,N/A
2154873,30-Oct-21,California,Sacramento,5560 Palm Ave,2,5,N/A
2154283,29-Oct-21,New York,Poughkeepsie,32 Cannon St,0,5,N/A
2155826,29-Oct-21,Michigan,Kalamazoo,3082 S 9th St,0,4,N/A
2153285,28-Oct-21,Nevada,Las Vegas,3900 block of E Cheyenne Ave,0,4,N/A
2153779,28-Oct-21,Tennessee,Nashville,210 N 9th St,1,3,N/A
2150274,25-Oct-21,Idaho,Boise,350 N Milwaukee St,3,3,N/A
2154085,24-Oct-21,California,Gonzales,Foletta Rd,2,2,N/A
2150037,24-Oct-21,Mississippi,Crenshaw,413 Jones St,2,3,N/A
2148921,23-Oct-21,South Carolina,Florence,811 S Irby St,0,6,N/A
2148891,23-Oct-21,California,Ontario,700 block of E Bonnie Brae Ct,1,4,N/A
2148633,23-Oct-21,Georgia,Fort Valley,603 Carver Dr,1,7,N/A
2148282,22-Oct-21,Illinois,Chicago,7901 S Cottage Grove Ave,0,5,N/A
2148946,22-Oct-21,Washington,Renton,16420 SE 128th St,0,4,N/A
2148401,22-Oct-21,Maryland,Baltimore,3100 block of W North Ave,0,7,N/A
2147114,21-Oct-21,New York,Brooklyn,3008 Glenwood Rd,0,4,N/A
2147301,21-Oct-21,Washington,Tacoma,4258 Everett St,4,0,N/A
2147042,20-Oct-21,Michigan,Farwell,9539 S Harrison Ave,4,0,N/A
2145931,19-Oct-21,Wisconsin,Kenosha,610 40th Pl,3,2,N/A
2143113,17-Oct-21,Missouri,Saint Louis,8600 block of Goodfellow Blvd,1,3,N/A
2143765,17-Oct-21,Texas,Houston,1900 block of Dolly Wright St,0,7,N/A
2143889,17-Oct-21,Colorado,Colorado Springs,1865 N Academy Blvd,0,5,N/A
2143277,17-Oct-21,Louisiana,Grambling,403 Main St,1,7,N/A
2144160,17-Oct-21,Wisconsin,Racine,Yout St and Carter St,0,6,N/A
2143479,17-Oct-21,Arkansas,Pine Bluff,820 S Main St,1,9,N/A
2143499,17-Oct-21,Arkansas,Pine Bluff,University Dr and Pullen Ave,1,3,N/A
2143605,17-Oct-21,Mississippi,Jackson,3243 Medgar Evers Blvd,3,3,N/A
2142402,16-Oct-21,Texas,Killeen,308 S Second St,1,3,N/A
2142296,15-Oct-21,Alabama,Mobile,1621 Virginia St,0,5,N/A
2142092,14-Oct-21,Minnesota,Minneapolis,814 E Franklin Ave,1,4,N/A
2155043,14-Oct-21,Mississippi,Mccomb,1300 14th St,0,6,N/A
2139048,12-Oct-21,Florida,Naples,700 block of 99th Ave,1,5,N/A
2139674,12-Oct-21,Mississippi,Meridian,2000 block of 17th St,3,1,N/A
2139198,11-Oct-21,Georgia,South Fulton,4900 Delano Rd,0,6,N/A
2137321,10-Oct-21,South Carolina,Mc Coll (Mccoll),4181 Hwy 15-401,2,3,N/A
2137561,10-Oct-21,Iowa,Sioux City,427 Pierce St,0,4,N/A
2137198,10-Oct-21,Minnesota,Saint Paul,214 7th St W,1,15,N/A
2137179,10-Oct-21,Illinois,Chicago,1500 block of N Milwaukee Ave,1,4,N/A
2137555,10-Oct-21,Delaware,Dover,1500 block of Nathaniel Mitchell Rd,1,4,N/A
2136907,9-Oct-21,Louisiana,Livingston,17000 block of LA-444,2,4,N/A
